"station_id","name","short_name","lat","lon","region_id","capacity"
"88","Inman Square at Vellucci Plaza / Hampshire St","M32010",42.374035,-71.101427,8,19
"89","Harvard Law School at Mass Ave / Jarvis St","M32020",42.379011,-71.119945,8,19
"90","Lechmere Station at Cambridge St / First St","M32001",42.370677,-71.076529,8,19
"91","One Kendall Square at Hampshire St / Portland St","M32002",42.366277,-71.09169,8,19
"92","University of Massachusetts Boston - Integrated Sciences Complex","C32014",42.314507,-71.041269,10,19
"93","JFK/UMass T Stop","C32013",42.320494,-71.051122,10,15
"94","Main St at Austin St","D32020",42.375603,-71.064608,10,11
"95","Cambridge St - at Columbia St / Webster Ave","M32007",42.372969,-71.094445,8,15
"96","Cambridge Main Library at Broadway / Trowbridge St","M32013",42.373379,-71.111075,8,19
"97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","M32038",42.36919031768079,-71.11714124679565,8,19
"98","Warren St at Chelsea St","D32021",42.371848,-71.060292,10,19
"99","Wilson Square","S32005",42.385582,-71.113341,9,15
"100","Davis Square","S32006",42.396969,-71.123024,9,25
"102","Powder House Circle - Nathan Tufts Park","S32008",42.400877,-71.116772,9,15
"103","JFK Crossing at Harvard St. / Thorndike St.","K32004",42.346563,-71.128374,4,15
"104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","M32024",42.380287,-71.125107,8,19
"105","Lower Cambridgeport at Magazine St/Riverside Rd","M32022",42.356954,-71.113687,8,19
"106","Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave","C32015",42.325333,-71.075354,10,3
"107","Ames St at Main St","M32037",42.3625,-71.08822,8,19
"108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","M32023",42.377945,-71.116865,8,17
"109","TD Garden - West End Park","D32022",42.365942,-71.0645485,10,35
"110","Harvard University Gund Hall at Quincy St / Kirkland S","M32021",42.376369,-71.114025,8,15
"111","Packard Ave / Powderhouse Blvd","S32009",42.40449,-71.123413,9,15
"112","Somerville Hospital at Highland Ave / Crocker St","S32010",42.39082,-71.10942,9,15
"113","Andrew T Stop - Dorchester Ave at Dexter St","C32012",42.330716,-71.057044,10,15
"114","Teele Square at 239 Holland St","S32011",42.402763,-71.126908,9,3
"115","Porter Square Station","M32029",42.387995,-71.119084,8,19
"116","359 Broadway - Broadway at Fayette Street","M32026",42.370803,-71.104412,8,19
"117","Binney St / Sixth St","M32027",42.366095,-71.086388,8,19
"118","Linear Park - Mass. Ave. at Cameron Ave. ","M32025",42.397828,-71.130516,8,19
"119","South Boston Library - 646 E Broadway","C32017",42.335741,-71.03877,10,15
"120","Charles st and Beacon St","D32024",42.356052,-71.069849,10,15
"121","W Broadway at Dorchester St","C32016",42.335693,-71.045859,10,17
"122","Burlington Ave at Brookline Ave","B32020",42.345733,-71.100694,10,15
"123","JP Center","E32002",42.313156,-71.11414,10,15
"124","Curtis Hall - South St at Centre St","E32001",42.309054,-71.11543,10,15
"125","Hyde Square - Barbara St at Centre St","E32003",42.320998,-71.110833,10,15
"126","Egleston Square - Atherton St at Washington St","E32004",42.315692,-71.098634,10,15
"128","E Cottage St at Columbia Rd","C32018",42.320561,-71.06198,10,19
"129","Hayes Square - Vine St at Moulton St","D32026",42.377022,-71.056605,10,19
"130","Upham's Corner","C32019",42.317283,-71.065363,10,15
"131","Jackson Square T Stop","E32006",42.322701,-71.099533,10,18
"133","Green Street T Stop - Green St at Amory St","E32005",42.310579,-71.107341,10,15
"134","Boylston St at Dartmouth St","D32027",42.350413,-71.07655,10,3
"135","ID Building East","C32020",42.344827,-71.028664,10,17
"136","ID Building West","C32021",42.344796,-71.031614,10,19
